url_length,special_chars_count,digits_count,subdomains_count,hyphens_count,has_ip_address,at_symbol_count,double_slash_count,suspicious_words_count,suspicious_tld,is_shortened,parameters_count,shannon_entropy,relative_entropy
67,12,1,2,1,0,0,1,0,0,0,1,4.334547870034715,0.7145539298784382
32,7,1,2,0,0,0,1,0,0,0,0,4.077819531114783,0.8155639062229566
64,14,9,2,1,0,0,1,0,0,0,0,4.7867384298164914,0.7977897383027486
69,14,0,4,3,0,0,1,0,0,0,0,4.067799819814767,0.6659218357227066
27,6,0,2,0,0,0,1,0,0,0,0,3.606015279620732,0.7583807772486729
30,7,0,2,1,0,0,1,0,0,0,0,4.098068512058839,0.8351660653951516
120,23,12,2,9,0,0,1,0,0,0,0,4.598871979723209,0.6658382547201812
96,14,27,2,0,0,0,1,0,0,0,0,4.726017287781372,0.7176984359840772
71,11,3,2,1,0,0,1,0,0,0,0,4.257201749228001,0.692256391441814
19,5,0,2,0,0,0,1,0,0,0,0,3.932138039759375,0.9256603431473772
83,10,0,2,1,0,0,1,0,0,0,0,4.23889214283912,0.6649201449634834
48,10,0,2,4,0,0,1,0,0,0,0,4.082067386399956,0.7309032756930527
51,13,0,2,2,0,0,1,0,0,0,0,4.42877981324168,0.7807559458689012
91,15,6,2,7,0,0,1,0,0,0,0,4.511478674014652,0.6932423230055869
81,13,0,1,0,0,1,1,0,0,0,1,4.396991794185414,0.693548237290281
61,10,6,2,4,0,0,1,0,0,0,0,4.47779978865976,0.7550156976771153
32,7,0,2,1,0,0,1,0,0,0,0,4.093139062229566,0.8186278124459132
65,11,5,2,4,0,0,1,0,0,0,0,4.524548637085513,0.7512906513775789
29,6,0,2,0,0,0,1,0,0,0,0,4.21126073643228,0.8668746832595814
19,4,0,1,0,0,0,1,0,0,0,0,3.431623565847431,0.807834774719492
50,7,0,2,0,0,0,1,0,0,0,0,4.0279764393853,0.7136922529463101
20,5,0,1,0,0,0,1,0,0,0,0,3.6086949695628414,0.834973393896062
91,16,9,1,0,0,0,1,0,0,0,0,4.5803512725767295,0.7038254164143204
39,8,0,2,2,0,0,1,0,0,0,0,4.272331064905147,0.808326573455146
127,16,0,2,7,0,0,1,0,0,0,0,4.061993209256637,0.5812242777163743
23,6,0,2,0,0,0,1,0,0,0,0,3.8820451081368623,0.8581832515721013
41,8,0,2,0,0,0,1,0,0,0,0,4.277926089825635,0.7984852197679394
169,17,36,2,1,0,0,1,1,0,0,0,5.149248716540168,0.6957617349225299
49,8,0,2,1,0,0,1,0,0,0,0,4.191268906118179,0.7464800537308367
59,11,0,2,0,0,0,1,0,0,0,1,4.409865880046907,0.7496402285576883
62,11,0,2,2,0,0,1,0,0,0,0,4.314700496003898,0.7246486798691979
56,9,5,1,0,0,0,1,0,0,0,0,4.425496386606637,0.7620502700459437
23,5,0,2,0,0,0,1,0,0,0,0,3.653996738665709,0.807769800471736
41,9,6,1,0,0,0,1,0,0,0,1,4.289882797037173,0.800716967999451
55,9,0,2,2,0,0,1,0,0,0,0,3.9944383510247694,0.6909167650786987
41,10,13,3,0,1,0,1,0,0,0,0,4.314749870418975,0.8053584672066202
49,7,1,1,0,0,0,1,0,0,0,0,3.959738743507028,0.7052436997536462
47,8,0,2,1,0,0,1,0,0,0,0,4.153007937189824,0.7476715285480584
46,8,0,1,0,0,0,1,1,0,0,0,4.346627923721847,0.7869248065472377
65,14,0,2,6,0,0,1,0,0,0,0,4.262311997737562,0.7077468746622739
26,6,0,2,0,0,0,1,0,0,0,0,3.796217602590057,0.8076303133808441
36,7,0,2,0,0,0,1,0,0,0,0,4.0860486123130375,0.7903496880850509
52,9,1,2,2,0,0,1,0,0,0,0,4.380647593466271,0.7684753826139568
142,13,18,4,0,0,0,1,0,0,0,1,5.510259401280625,0.770692908319583
121,18,20,5,0,0,0,1,2,0,0,1,4.759461073096663,0.6878963942307175
37,7,0,2,0,0,0,1,0,0,0,0,4.020264176439761,0.7717247653976042
25,6,0,1,0,0,0,1,0,0,0,0,3.733660689688186,0.8040000674244194
32,6,0,2,0,0,0,1,0,0,0,0,3.8789280318460246,0.7757856063692049
123,21,0,1,0,0,0,1,0,0,0,1,4.829948957451987,0.695705994382503
76,15,0,2,1,0,0,1,0,0,0,1,4.676533803374894,0.7484936074102102
62,13,1,1,1,0,0,1,0,0,0,1,4.365430286773683,0.7331686862857295
127,18,18,4,1,0,0,1,2,0,0,1,4.8192431496033725,0.6895779915103333
19,6,0,1,0,0,0,1,0,0,0,0,3.5110854081804272,0.8265408006772139
38,6,6,1,0,0,0,1,0,0,0,0,4.273728829005326,0.8143650646959851
40,7,2,2,1,0,0,1,0,0,0,0,4.208694969562842,0.7908214644249
78,13,3,2,0,0,0,1,0,0,0,1,4.804633553652408,0.7644114706349084
41,5,1,2,0,0,0,1,0,0,0,0,4.229145602020757,0.789380224097747
49,8,0,2,0,0,0,1,0,0,0,0,4.338601170380906,0.7727204594424778
99,23,11,2,2,0,0,1,0,0,0,1,4.983802423912088,0.7517776926974612
112,18,0,1,1,0,1,1,1,0,0,1,4.395599714121532,0.6457133151495661
52,10,0,2,1,0,0,1,1,0,0,0,4.221711776033764,0.7405940567354091
26,6,0,1,0,0,0,1,0,0,0,0,3.5654483718208256,0.7585350702531449
33,8,0,2,0,0,0,1,0,0,0,0,3.8212266049160206,0.7575194393022575
31,7,0,3,0,0,0,1,0,0,0,0,3.977916874693636,0.8029388876564318
45,9,8,2,0,0,0,1,0,0,0,0,4.366759974483215,0.7951341556098097
149,49,39,2,4,0,0,1,0,0,0,0,3.849194506334444,0.5331908370644357
61,12,4,2,0,0,0,1,0,0,0,0,4.344329141937198,0.7325107983491324
18,5,0,2,0,0,0,1,0,0,0,0,3.3921472236645345,0.8134791926692311
39,6,3,2,0,0,0,1,0,0,0,0,3.9265889250240185,0.7429120362895045
48,10,0,2,0,0,0,1,0,0,0,0,4.248734053066622,0.7607453143182261
51,8,0,2,0,0,0,1,0,0,0,0,3.934284108361805,0.6935805887564868
29,6,0,2,0,0,0,1,0,0,0,0,3.7024715122197462,0.7621420330654296
41,7,0,2,0,0,0,1,0,0,0,0,3.875725480175072,0.7234135061748889
28,5,0,1,0,0,0,1,0,0,0,0,3.815410725242699,0.7936611269819993
48,7,4,1,0,0,0,1,0,0,0,0,4.928508854797678,0.8824605096562933
105,19,0,1,1,0,1,1,0,0,0,1,4.5330740951990816,0.6751427369273177
68,9,13,4,0,0,0,1,2,0,0,0,4.574697820064777,0.7514949888589634
62,9,2,2,0,0,0,1,0,0,0,0,4.317775150606211,0.7251650643553711
24,6,0,2,0,0,0,1,0,0,0,0,3.8553885422075336,0.8408767883273048
77,7,24,1,0,0,0,1,0,0,0,0,4.697071976531029,0.7495184247986508
105,14,20,2,5,0,0,1,0,0,0,1,4.89867043389341,0.7295935814387962
51,12,0,2,5,0,0,1,0,0,0,0,4.207149735045994,0.7416844614800636
45,8,0,2,1,0,0,1,0,0,0,0,3.939664842286024,0.7173652996870924
35,7,0,2,0,0,0,1,0,0,0,0,4.207435516759526,0.8202775130286146
21,5,1,1,0,0,0,1,0,0,1,0,3.844232898763192,0.8752174601104243
39,8,0,2,2,0,0,1,0,0,0,0,4.214262795507958,0.7973400360086753
74,11,6,3,2,0,0,1,0,0,0,0,4.5827263866432055,0.7380241249591903
26,7,0,2,1,0,0,1,0,0,0,0,3.7192945256669794,0.7912652323382777
20,6,0,2,0,0,0,1,0,0,0,0,3.4464393446710155,0.7974309773334709
27,6,0,2,0,0,0,1,0,0,0,0,3.633974075997157,0.7642607894179838
103,23,15,1,1,0,0,1,0,0,0,1,4.874912761977701,0.7290678797016898
31,6,0,2,0,0,0,1,0,0,0,0,3.808719697344071,0.7687865919561525
36,6,0,2,0,0,0,1,1,0,0,0,4.218128820706467,0.8158974877836116
22,7,1,2,1,0,0,1,0,0,0,0,3.788754913993503,0.8496048909370343
30,7,12,1,0,0,0,1,0,0,0,2,4.0062389286533895,0.8164516511207366
67,12,4,1,2,0,0,1,0,0,0,0,4.250197355789891,0.7006486753402242
26,5,0,2,0,0,0,1,0,0,0,0,3.979097891134805,0.8465373730414397
124,9,37,2,0,0,0,1,0,0,0,1,4.084934928395835,0.58740575417673
24,4,0,1,0,0,0,1,0,0,0,0,3.823934896284056,0.8340166131528011
33,6,0,1,0,0,0,1,0,0,0,0,3.857689287275721,0.7647477964640761
30,6,0,2,0,0,0,1,0,0,0,0,4.002910079649727,0.8157732481812779
42,9,11,3,0,1,0,1,0,0,0,0,4.243158791671846,0.7868896541118805
39,8,0,2,1,0,0,1,0,0,0,0,3.996564718695828,0.7561514816096891
57,8,1,2,1,0,0,1,0,0,0,0,4.237526909435838,0.7264883958287088
45,8,0,2,2,0,0,1,0,0,0,0,4.019879075051287,0.7319713409191261
99,19,1,3,8,0,0,1,0,0,0,0,4.710455009885621,0.7105448205363034
28,6,0,2,0,0,0,1,0,0,0,0,3.842370993177109,0.7992692562696264
33,7,0,2,1,0,0,1,0,0,0,0,4.12728313431329,0.8181920438124287
126,15,36,2,4,0,0,1,0,0,0,1,4.800502441574518,0.6880191842964655
43,8,2,2,2,0,0,1,0,0,0,0,4.280120277605719,0.7887783716960743
44,7,3,2,0,0,0,1,1,0,0,0,4.237285311573267,0.7761403764282179
56,10,4,4,2,0,0,1,0,0,0,0,4.532639243749494,0.780499780809597
45,8,0,2,0,0,0,1,0,0,0,0,4.034435120208032,0.7346218206208636
123,18,16,5,0,0,0,1,2,0,0,1,4.723897556255126,0.6804303473362778
128,19,26,4,1,0,0,1,2,0,0,1,4.832909942690316,0.6904157060986166
29,7,0,2,0,0,0,1,0,0,0,0,4.073329701949521,0.8384820167133145
56,10,0,2,3,0,0,1,0,0,0,0,4.35987902873686,0.7507512606431349
45,6,0,2,0,0,0,1,0,0,0,0,4.296865596089289,0.7824072349934084
27,6,0,2,0,0,0,1,0,0,0,0,3.884155094595804,0.8168763388888839
160,18,47,3,1,1,0,1,1,0,0,0,5.155182032445522,0.7040743866421194
34,6,2,2,0,0,0,1,0,0,0,0,3.878068268345523,0.7622794287363119
27,6,0,2,0,0,0,1,0,0,0,0,3.6800893536948074,0.7739592896825361
69,12,0,2,0,0,0,1,0,0,0,1,4.446999776863761,0.7279990132362096
38,6,0,2,0,0,0,1,0,0,0,0,4.168465671110589,0.7943070212826405
128,19,19,4,1,0,0,1,2,0,0,1,4.778975004350156,0.6827107149071651
64,10,0,2,0,0,0,1,0,0,0,0,4.308518072054203,0.7180863453423671
76,12,0,2,3,0,0,1,0,0,0,0,4.161648023061636,0.6660845558958665
62,7,18,1,0,0,0,1,0,0,0,0,4.552682552490405,0.7646174756697927
62,13,10,2,0,0,0,1,0,0,0,0,4.712362141682182,0.7914354676989136
72,9,21,2,0,0,0,1,0,0,0,0,4.709390063996874,0.7632815735841172
57,12,0,2,1,0,0,1,0,0,0,0,4.242623296373616,0.7273621285624654
127,15,38,2,4,0,0,1,0,0,0,1,4.814005483482642,0.6888285420279945
907,40,159,2,10,0,0,1,1,0,0,1,5.976712038477826,0.6083193015176281
30,7,0,2,1,0,0,1,0,0,0,0,3.936243412983061,0.8021869117085776
73,13,6,2,4,0,0,1,0,0,0,0,4.405730984119367,0.7117699285674967
79,11,6,2,1,0,0,1,0,0,0,0,4.472828812555657,0.7095470149162609
31,6,0,2,0,0,0,1,0,0,0,0,4.042433003725894,0.815961409371406
71,11,3,3,0,0,0,1,1,0,0,0,4.30944831182725,0.7007521168080721
50,9,1,1,1,0,0,1,1,0,0,0,4.183981820580906,0.7413338823482514
65,10,0,2,3,0,0,1,1,0,0,0,4.140525121416122,0.6875244505091073
31,6,0,2,0,0,0,1,0,0,0,0,3.873235826376329,0.7818091136711267
91,11,21,2,1,0,0,1,1,0,0,0,4.767457043609197,0.7325764421268888
126,21,6,2,1,0,0,1,0,0,0,1,4.685717808842489,0.6715679835433717
34,7,0,2,1,0,0,1,0,0,0,0,3.8336631211594367,0.7535510805258762
32,6,0,2,0,0,0,1,0,0,0,0,3.98345859334435,0.79669171866887
98,15,4,8,1,0,0,1,0,0,0,0,4.373232773474922,0.6611375066384172
59,10,0,2,0,0,0,1,0,0,0,0,4.399155126729122,0.7478194902895475
49,10,0,2,0,0,0,1,0,0,0,0,3.9638148851441657,0.7059696752270556
36,6,0,2,0,0,0,1,0,0,0,0,4.141604167868593,0.8010955993971214
61,12,0,1,1,0,0,1,0,0,0,0,4.304501936316363,0.7257954097972595
101,14,12,2,0,0,0,1,1,0,0,0,4.736645145775404,0.7113990233031438
44,7,8,2,0,0,0,1,0,0,0,0,4.464558038845994,0.817769751635862
59,11,3,2,0,0,0,1,0,0,0,1,4.409865880046908,0.7496402285576884
48,9,5,2,0,0,0,1,0,0,0,0,4.26654140665565,0.7639337607199215
44,8,2,4,0,0,0,1,0,0,0,0,4.023948449120702,0.7370636231405168
45,10,6,1,0,0,0,2,0,0,0,1,4.4003105301349255,0.8012433058480295
69,13,0,1,2,0,0,1,0,0,0,1,4.268644610393372,0.698801263807134
124,18,0,1,1,0,1,1,0,0,0,1,4.5191357251665005,0.6498429902556335
26,6,0,2,0,0,0,1,0,0,0,0,3.95006375643621,0.8403604754659769
32,6,0,2,0,0,0,1,0,0,0,0,4.054229296672175,0.810845859334435
48,10,0,4,0,0,0,1,0,0,0,0,3.8355006579912168,0.686754952695915
75,14,0,2,1,0,0,1,0,0,0,0,4.298576610889104,0.6901110506632664
43,8,0,3,0,0,0,1,1,0,0,0,4.129184812590067,0.7609626509675824
73,12,12,2,2,0,0,1,0,0,0,0,4.427915362097397,0.7153539361216694
94,16,28,2,5,0,0,1,0,0,0,0,4.921194639936411,0.7508014234450172
22,7,0,3,0,0,0,1,0,0,0,0,3.629219686524097,0.8138301014318738
80,18,8,4,2,0,1,1,0,0,0,1,4.7278900514789655,0.7478557143512089
57,10,0,2,1,0,0,1,0,0,0,1,4.463782996317237,0.7652781015032464
117,16,5,2,1,0,0,1,1,0,0,0,4.604173072634867,0.6701497315726272
22,6,0,2,0,0,0,1,0,0,0,0,3.7544418457133455,0.841910397285253
36,6,0,1,0,0,0,1,0,0,0,0,3.8956388075276673,0.7535194043319501
36,6,1,2,0,0,0,1,0,0,0,0,3.919381945646371,0.7581119541488391
27,6,0,2,0,0,0,1,0,0,0,0,3.6800893536948074,0.7739592896825361
93,10,20,2,0,0,0,1,1,0,0,0,4.511196984309154,0.6898742047136109
33,6,2,2,0,0,0,1,0,0,0,0,4.12728313431329,0.8181920438124287
20,5,0,2,0,0,0,1,0,0,0,0,3.484183719779189,0.8061642034028318
31,5,0,1,0,0,0,1,0,0,0,0,4.106949132758152,0.8289839310863802
20,6,0,2,0,0,0,1,0,0,0,0,3.508694969562842,0.811835572580086
55,9,0,2,0,0,0,1,1,0,0,0,4.142939096461847,0.716602893047813
174,26,19,2,2,0,0,1,0,0,0,1,5.338983398502584,0.717321500758454
26,6,0,2,0,0,0,1,0,0,0,0,3.690260390968384,0.7850883347628148
33,6,0,2,0,0,0,1,0,0,0,0,4.020926316000352,0.7971078827028159
48,9,0,2,2,0,0,1,0,0,0,0,4.087581188618506,0.7318905342857178
23,6,0,2,0,0,0,1,0,0,0,0,3.642489673166126,0.8052259941502208
40,6,0,2,0,0,0,1,0,0,0,0,4.043942707918269,0.7598642138369324
29,6,0,2,0,0,0,1,0,0,0,0,3.667314615369613,0.7549050972096913
42,6,0,2,0,0,0,1,0,0,0,0,4.091622411276601,0.7587873803556825
49,11,0,2,0,0,0,1,0,0,0,0,4.354007037771997,0.7754642997866475
28,8,0,2,0,0,0,1,0,0,0,0,3.4547012441673464,0.7186282893980073
30,6,0,2,0,0,0,1,0,0,0,0,4.189898095464288,0.8538804796695666
40,9,0,2,1,0,0,1,0,0,0,0,4.393942707918269,0.82562985248512
55,12,6,3,1,0,0,1,0,0,0,0,4.404112332400033,0.7617779468205802
63,13,0,2,5,0,0,1,0,0,0,0,4.443893273751856,0.7434641393120156
27,7,0,3,0,0,0,1,0,0,0,0,3.856196298219379,0.8109963267195731
50,10,1,2,0,0,0,1,0,0,0,0,4.281076880026372,0.7585375558970883
29,6,0,2,0,0,0,1,0,0,0,0,3.9093680639438846,0.8047310328848298
40,12,10,3,0,1,1,1,0,0,0,1,4.571928094887363,0.8590736314681693
458,19,187,2,2,0,0,1,0,0,0,1,4.516142334117862,0.5109218479835699
132,10,6,2,0,0,0,1,0,0,0,1,5.285962537091172,0.7503785914767322
76,10,0,2,3,0,0,1,0,0,0,0,4.3060735676061945,0.6892003081567242
24,5,0,1,0,0,0,1,0,0,0,0,3.688721875540867,0.8045260729963829
90,11,22,2,0,0,0,1,0,0,0,0,4.598093131678856,0.7082866884770541
41,7,0,3,0,0,0,1,0,0,0,0,4.006720834246031,0.7478641048733324
29,6,0,2,0,0,0,1,0,0,0,0,3.9262723741395074,0.8082107315935274
37,9,2,2,0,0,0,1,0,0,0,1,4.131769501279566,0.7931291848277687
210,16,80,1,0,0,0,1,1,0,0,1,4.731387229191196,0.6133311700225268
256,16,167,1,4,0,0,1,0,0,0,1,4.039226436331808,0.504903304541476
54,8,6,2,1,0,0,1,0,0,0,0,4.217488427929137,0.732853322735437
38,7,0,1,0,0,0,1,1,0,0,0,4.023471592049353,0.7666781947240029
24,6,0,2,0,0,0,1,0,0,0,0,3.6368421881310113,0.7932108905054256
78,16,25,2,2,0,1,1,0,0,0,1,5.051571052740101,0.8036989323579853
107,18,8,2,9,0,0,1,0,0,0,0,4.309824971030716,0.6393007604612576
34,5,0,1,0,0,0,1,0,0,0,0,3.8366003408685514,0.7541284252261259
36,7,0,2,0,0,0,1,0,0,0,0,3.953968403919608,0.7648018883864901
66,12,6,2,3,0,0,1,0,0,0,0,4.437498476202222,0.7341510809148253
97,13,0,2,5,0,0,1,0,0,0,0,4.049598902183634,0.613583694060064
102,13,25,3,2,0,0,1,0,0,0,0,4.744969950870559,0.7111312165642856
22,5,0,2,0,0,0,1,0,0,0,0,3.823067982273661,0.8572993845888156
55,8,1,2,2,0,0,1,0,0,0,0,4.405928068220213,0.7620920140833267
116,19,0,2,2,0,1,1,0,0,0,1,4.472668867916832,0.6521844944006924
40,6,0,2,0,0,0,1,1,0,0,0,4.043942707918269,0.7598642138369324
118,17,20,4,0,0,0,1,2,0,0,1,4.709726244459147,0.6842903533833318
30,5,2,2,0,0,0,1,0,0,0,0,3.948394345536403,0.8046632115804796
68,14,0,2,6,0,0,1,0,0,0,0,4.215400709689343,0.6924725159921498
124,19,31,5,0,0,0,1,2,0,0,1,4.775139736101136,0.6866558726518731
45,8,0,2,0,0,0,1,0,0,0,0,3.830851576680696,0.6975517206097405
24,6,0,2,0,0,0,1,0,0,0,0,3.7406015629507214,0.8158412554873401
49,8,0,1,2,0,0,1,0,0,0,0,3.841365905552329,0.6841610719347277
23,5,0,1,0,0,0,1,0,0,0,0,3.675310868912364,0.8124816029083346
49,8,0,2,0,0,0,1,0,0,0,0,4.177845110307724,0.7440892274578595
57,10,6,2,1,0,0,1,0,0,0,0,4.57340843623806,0.7840724623868915
60,6,0,2,0,0,0,1,1,0,0,0,4.244413829577612,0.7185529782341192
81,8,18,2,0,0,0,1,0,0,0,0,4.745904368800621,0.7485830684702698
32,8,0,3,1,0,0,1,0,0,0,0,3.7570488277869583,0.7514097655573917
47,9,0,2,0,0,0,1,0,0,0,0,4.032272361855623,0.7259353427459831
17,4,0,1,0,0,0,1,0,0,0,0,3.263933429485633,0.798523082961461
33,8,0,1,0,0,0,1,0,0,0,0,3.957294029027326,0.7844934268400533
79,15,21,3,1,0,0,1,0,0,0,0,4.665804920123208,0.740159771811931
34,7,0,2,0,0,0,1,0,0,0,0,4.02085512047121,0.7903458454515236
86,19,0,3,5,0,0,1,0,0,0,0,4.2372868544012565,0.6593701031848763
92,15,0,2,6,0,0,1,0,0,0,0,4.207009077479304,0.6448944772530549
117,18,26,4,0,0,0,1,2,0,0,1,4.800390336844703,0.6987096803116708
35,6,3,1,0,0,0,1,0,0,0,0,4.014438730983427,0.7826510484450616
56,9,0,2,0,0,0,1,0,0,0,0,4.10274578087187,0.7064740894841375
27,6,0,2,0,0,0,1,0,0,0,0,3.7080481500712312,0.7798393018518469
36,6,0,2,1,0,0,1,0,0,0,0,4.083274571476652,0.7898131153425814
35,7,0,2,0,0,0,1,0,0,0,0,4.164299088064471,0.8118676770822356
37,7,0,3,0,0,0,1,0,0,0,0,3.951904040953793,0.7586024412902428
30,6,0,2,0,0,0,1,0,0,0,0,3.7647351787255054,0.7672343830316496
37,6,3,2,0,0,0,1,0,0,0,0,4.005958095007848,0.7689785883176244
416,8,51,2,1,0,0,1,0,0,0,0,5.496548000135304,0.6317551960821675
44,9,0,2,3,0,0,1,0,0,0,0,4.063387937609557,0.7442877247034371
243,30,48,2,16,0,0,1,0,0,0,1,5.42416575930291,0.6844535131695444
76,17,7,2,0,0,0,1,0,0,0,1,4.572924553625851,0.7319106285702497
40,6,2,1,0,0,0,1,0,0,0,0,4.275070520364182,0.8032935515365439
57,12,4,1,0,0,0,1,1,0,0,0,4.41834281270701,0.7574877636947366
41,5,0,2,0,0,0,1,0,0,0,0,4.043544614839371,0.7547373523120132
77,15,12,2,0,0,0,1,0,0,0,0,4.417724249202108,0.704942512484595
68,11,18,5,1,0,0,1,0,0,0,0,4.73821863592895,0.778356888492438
27,6,0,2,0,0,0,1,0,0,0,0,3.7639657428240807,0.7915993261904684
63,11,0,2,1,0,0,1,0,0,0,0,4.263150068229431,0.7132257687093898
39,6,0,2,0,0,0,1,0,0,0,0,4.092342603144792,0.7742726917811984
35,5,0,1,0,0,0,1,0,0,0,0,3.9357276594930415,0.7673056149350844
36,7,0,2,0,0,0,1,0,0,0,0,4.037844793048882,0.7810257966841684
275,23,101,2,1,0,0,1,1,0,0,1,4.831913819296191,0.5962905346000646
23,6,0,2,0,0,0,1,0,0,0,0,3.729446194905256,0.8244490141030472
50,9,0,2,1,0,0,1,0,0,0,0,4.2961746300696415,0.7612126329252065
38,7,5,2,1,0,0,1,0,0,0,0,4.293594289588575,0.8181504562686317
75,12,1,4,2,0,1,1,0,0,0,0,4.452384698266301,0.7148040293835947
212,61,69,2,0,0,0,1,0,0,0,0,4.201300882659278,0.543652190438695
57,12,4,4,0,0,0,1,0,0,0,0,4.216416935438117,0.7228692680984659
43,9,0,2,1,0,0,1,0,0,0,0,4.01396112788348,0.7397282125619111
38,7,0,2,0,0,0,1,0,0,0,0,3.945718475144532,0.7518622284772052
29,7,0,3,0,0,0,1,0,0,0,0,3.857306856898128,0.794014398320394
21,5,0,2,0,0,0,1,0,0,0,0,3.916126946588284,0.8915855958585936
105,8,16,1,0,0,0,1,0,0,0,0,5.104655165970543,0.7602723422221423
36,6,0,2,0,0,0,1,0,0,0,0,3.8956388075276673,0.7535194043319501
70,8,21,1,0,0,0,1,0,0,0,1,4.911306145999518,0.8012855879589441
25,5,0,2,0,0,0,1,0,0,0,0,3.943465189601647,0.8491790073699389
49,7,3,1,1,0,0,1,0,0,0,0,4.653089120058805,0.8287318934095446
44,9,0,2,0,0,0,1,0,0,0,0,4.036040925839782,0.739278593042841
106,15,11,1,9,0,0,1,1,0,0,0,4.546482866468436,0.6757634691392335
77,17,2,2,8,0,0,1,0,0,0,0,4.387859360756268,0.7001769299564676
35,6,0,2,0,0,0,1,0,0,0,0,4.028445159431229,0.7853817280354705
611,11,71,2,1,0,0,1,0,0,0,1,5.716495999461039,0.6176637874574388
27,5,0,1,0,0,0,1,0,0,0,0,4.032303242743952,0.8480333637566101
138,22,32,2,7,0,0,1,0,0,0,0,4.8151444994478485,0.6773760896125889
85,14,6,2,2,0,0,1,0,0,0,1,5.082706748249368,0.7930093200575166
44,9,0,2,0,0,0,1,0,0,0,1,4.373648947936903,0.8011180015528043
69,12,7,2,3,0,0,1,0,0,0,0,4.633906979070134,0.7585967792808355
40,8,0,2,2,0,0,1,0,0,0,0,4.146439344671016,0.7791235189093202
26,7,0,2,1,0,0,1,0,0,0,0,3.6423714487439023,0.7749001512957112
64,10,0,2,2,0,0,1,0,0,0,0,4.158617633875558,0.6931029389792597
23,6,3,2,0,0,0,1,0,0,0,0,3.8164027166443866,0.8436720340558737
32,6,0,2,0,0,0,1,0,0,0,0,4.140319531114783,0.8280639062229567
174,26,40,2,15,0,0,1,0,0,0,0,4.946799385671076,0.6646294424282723
46,8,0,2,0,0,0,1,0,0,0,0,4.420756391857001,0.8003452169137525
27,7,0,3,0,0,0,1,0,0,0,0,4.004344446367528,0.8421533515872995
33,7,0,2,1,0,0,1,1,0,0,0,4.078506150239447,0.8085225011637575
64,11,0,2,4,0,0,1,0,0,0,0,4.224642047769037,0.7041070079615062
34,6,0,2,0,0,0,1,0,0,0,0,3.90320806164768,0.7672209475417797
123,20,0,1,1,0,1,1,0,0,0,1,4.490841428928977,0.6468609356847914
30,6,1,1,0,0,0,1,0,0,0,0,4.148394345536404,0.845422220998581
23,5,0,2,0,0,0,1,0,0,0,0,3.795088586397732,0.8389602316192749
27,8,0,2,1,0,0,1,0,0,0,0,3.9121138909722286,0.8227563510581947
55,10,0,2,0,0,0,1,0,0,0,0,4.246748295453605,0.7345587380627688
28,7,12,1,2,0,0,1,0,0,0,0,3.8693312611115194,0.8048773855572535
144,9,9,2,2,0,0,1,0,0,0,0,5.510979168212518,0.7686243813016067
31,7,0,3,0,0,0,1,0,0,0,0,4.018081793978686,0.8110461399267629
75,12,6,2,5,0,0,1,0,0,0,0,4.544089239047336,0.7295266510134328
34,6,0,2,0,0,0,1,0,0,0,0,3.777776811456786,0.7425659762712541
